waste_type;title;description
leftovers;Patung Daur Ulang;Ubah sisa kemasan makanan menjadi patung kreatif.
leftovers;Karya Seni;Gunakan sisa kemasan makanan dalam proyek seni media campuran.
medicinebottle;Stoples Mini;Daur ulang botol obat kecil menjadi stoples penyimpanan untuk barang-barang kecil.
milkbox;Pot Tanaman;Potong dan dekorasi karton susu untuk membuat pot tanaman DIY.
milkbox;Kotak Hadiah;Ubah karton susu menjadi kotak hadiah ramah lingkungan.
milkbox;Organizer;Gunakan karton susu untuk membuat organizer kecil untuk meja.
nailpolishbottle;Lampu Gantung;Ubah botol cat kuku bekas menjadi lampu gantung.
nailpolishbottle;Jar Dekoratif;Gunakan botol cat kuku bekas sebagai jar dekoratif.
napkin;Seni Mozaik;Gunakan serbet kertas untuk proyek mozaik, membuat mangkuk, atau dekorasi lainnya.
napkin;Decoupage;Gunakan serbet kertas dalam teknik decoupage untuk restorasi furnitur atau seni.
newspaper;Manik-manik Kertas;Ubah koran menjadi manik-manik kertas untuk perhiasan.
newspaper;Seni Daur Ulang;Gabungkan koran dalam seni kertas daur ulang yang lebih besar.
nut;Mozaik;Gunakan kacang-kacangan sebagai bagian dari desain mozaik.
nut;Patung Kecil;Gunakan kacang-kacangan untuk membuat patung kecil atau perhiasan kreatif.
penholder;Organizer Meja;Buat tempat pensil atau organizer meja dari penholder bekas.
penholder;Tempat Hiasan;Buat tempat hiasan kecil dari penholder bekas.
pesticidebottle;Penyiram Tanaman;Ubah botol pestisida bekas menjadi penyiram tanaman ramah lingkungan.
pesticidebottle;Wadah Penyimpanan;Gunakan botol pestisida bekas untuk menyimpan alat kebun.
plasticbag;Tas Daur Ulang;Rajut kantong plastik menjadi tas kuat.
plasticbag;Kerajinan Daur Ulang;Gunakan kantong plastik untuk membuat berbagai kerajinan seperti hiasan atau keranjang.
plasticbottle;Pot Tanaman;Ubah botol plastik menjadi pot tanaman kreatif.
plasticbottle;Tempat Makan Burung;Gunakan botol plastik untuk membuat tempat makan burung.
plasticene;Patung;Gunakan plastisin untuk membuat patung.
plasticene;Seni Abstrak;Gunakan plastisin untuk membuat seni abstrak.
rag;Karpet;Daur ulang kain bekas menjadi karpet kecil.
rag;Hiasan Dinding;Gunakan kain bekas dalam proyek seni dinding kreatif.
tabletcapsule;Tempat Dekoratif;Gunakan kapsul tablet bekas untuk membuat tempat dekoratif.
tabletcapsule;Magnet;Gunakan kapsul tablet bekas untuk membuat magnet kecil yang dapat ditempelkan di kulkas.
thermometer;Patung dari Thermometer Bekas;Gunakan thermometer bekas untuk membuat patung atau proyek seni lainnya.
toothbrush;Hiasan Rumah;Gunakan sikat gigi bekas untuk membuat hiasan rumah.
toothbrush;Pot Tanaman;Gunakan sikat gigi bekas untuk membuat pot tanaman mini.
toothpastetube;Pot Tanaman;Gunakan tube pasta gigi bekas untuk membuat pot tanaman kecil.
toothpastetube;Mainan Kecil;Gunakan tube pasta gigi bekas untuk membuat mainan kreatif.
toothpick;Mainan dari Tusuk Gigi;Gunakan tusuk gigi untuk membuat mainan mini atau patung seni yang menarik.
traditionalChinesemedicine;Patung Kecil;Gunakan botol atau kemasan dari obat tradisional Cina untuk membuat patung kecil.
traditionalChinesemedicine;Hiasan;Gunakan kemasan dari obat tradisional Cina untuk membuat hiasan kecil.
watermelonrind;Kompos;Gunakan kulit semangka untuk membuat kompos.
watermelonrind;Pot Tanaman;Gunakan kulit semangka untuk membuat pot tanaman ramah lingkungan.
